DATE;PRICE-AVG;PRICE-MAX;PRICE-MIN;TEMP;PREC;;;
2018.01.01;35,42;18,70;45,66;12,11;0,35;;;
2018.01.02;38,68;23,98;45,26;11,79;0,07;;;
2018.01.03;38,27;28,67;44,18;13,13;1,17;;;
2018.01.04;38,69;24,06;44,81;12,22;1,59;;;
2018.01.05;37,35;26,16;45,05;12,21;0,7;;;
2018.01.08;40,29;29,91;45,41;12,08;0;;;
2018.01.09;40,91;31,19;46,12;12,48;0,04;;;
2018.01.10;41,62;30,35;46,16;12,88;0,01;;;
2018.01.11;40,14;32,37;45,15;14,57;1,23;;;
2018.01.12;41,85;26,29;45,61;13,53;0,49;;;
2018.01.13;40,86;32,90;44,62;13,04;0,6;;;
2018.01.14;39,18;29,61;44,59;12,47;0,33;;;
2018.01.15;42,39;27,42;46,96;11,5;0,03;;;
2018.01.16;41,83;34,45;45,42;12;0,36;;;
2018.01.17;40,91;33,38;45,40;11,86;0,43;;;
2018.01.18;41,08;25,44;46,44;11,68;1,9;;;
2018.01.19;41,59;34,50;46,92;10,8;1,13;;;
2018.01.20;39,34;26,85;46,46;10,63;0,06;;;
2018.01.21;37,92;26,85;43,75;12,9;1,07;;;
2018.01.22;41,44;32,17;47,32;12,94;1,61;;;
2018.01.23;40,68;32,22;46,35;11,75;0,95;;;
2018.01.24;38,13;27,00;46,44;11,48;0,31;;;
2018.01.25;38,25;27,24;46,55;12,1;1;;;
2018.01.26;41,50;32,31;47,58;11,29;0,78;;;
2018.01.27;39,21;32,16;46,24;10,69;0,08;;;
2018.01.28;38,68;29,97;45,03;10,46;0;;;
2018.01.29;41,63;31,07;47,19;10,42;0;;;
2018.01.30;41,15;32,08;46,10;11;0;;;
2018.01.31;40,27;25,41;45,96;11,92;0,03;;;
2018.02.01;39,40;27,82;46,59;11,88;0,03;;;
2018.02.02;37,47;26,78;46,20;12,73;0,08;;;
2018.02.03;37,57;21,14;46,22;15,76;0,05;;;
2018.02.04;31,62;6,41;46,59;16,02;0,76;;;
2018.02.05;41,06;34,62;46,46;16,23;0,19;;;
2018.02.06;41,93;33,57;46,49;14,38;0,09;;;
2018.02.07;38,07;27,87;46,40;15,84;0,15;;;
2018.02.08;36,98;27,85;43,92;16,19;0,32;;;
2018.02.09;38,30;27,62;46,04;16,71;0,01;;;
2018.02.10;37,98;27,46;46,15;16,25;0,47;;;
2018.02.11;29,93;6,38;45,87;17,4;0,69;;;
2018.02.12;37,53;26,61;45,77;15,34;0,18;;;
2018.02.13;41,72;26,57;46,60;14,05;0,25;;;
2018.02.14;34,88;21,34;44,81;14,37;0,88;;;
2018.02.15;33,34;6,39;41,87;16,29;0,58;;;
2018.02.16;34,32;21,26;43,62;17,07;0,53;;;
2018.02.17;36,05;29,76;43,10;16,28;1,17;;;
2018.02.18;35,80;25,97;45,06;15,95;0,48;;;
2018.02.19;37,41;25,97;46,08;14,26;0,02;;;
2018.02.20;39,72;36,28;46,47;15;0,42;;;
2018.02.21;38,61;21,47;46,39;15,63;0,37;;;
2018.02.22;40,37;33,44;46,24;14,82;0,81;;;
2018.02.23;39,43;35,78;46,11;15,25;0,43;;;
